x,y,x2,y2,color
107,250,120,450,same orientation
165,250,174,0,same orientation
165,250,178,450,same orientation
77,250,132,0,inversed
88,250,121,0,inversed
88,250,101,450,inversed
71,250,34,450,same orientation
71,250,82,0,same orientation
128,250,145,0,inversed
128,250,170,450,inversed
92,250,105,450,same orientation
161,250,171,0,inversed
161,250,175,450,inversed
156,250,143,450,inversed
156,250,154,0,inversed
94,250,115,0,inversed
103,250,106,0,inversed
134,250,139,0,inversed
134,250,164,450,inversed
125,250,173,450,inversed
125,250,148,0,inversed
112,250,97,0,inversed
85,250,124,0,inversed
147,250,163,0,inversed
147,250,151,450,inversed
139,250,134,0,inversed
139,250,159,450,inversed
99,250,110,0,inversed
121,250,134,450,same orientation
116,250,129,450,same orientation
86,250,99,450,same orientation
117,250,92,0,inversed
120,250,89,0,inversed
79,250,42,450,same orientation
142,250,156,450,inversed
142,250,168,0,inversed
80,250,129,0,inversed
80,250,93,450,inversed
113,250,126,450,same orientation
124,250,137,450,same orientation
65,250,29,450,same orientation
65,250,76,0,same orientation
74,250,85,0,same orientation
74,250,37,450,same orientation
102,250,115,450,same orientation
91,250,118,0,inversed
153,250,157,0,inversed
153,250,145,450,inversed
68,250,79,0,same orientation
131,250,142,0,inversed
131,250,167,450,inversed
106,250,103,0,inversed
106,250,119,450,inversed
97,250,180,450,same orientation
97,250,110,450,same orientation
119,250,132,450,same orientation
90,250,103,450,same orientation
154,250,156,0,inversed
154,250,144,450,inversed
163,250,175,450,inversed
96,250,113,0,inversed
136,250,162,450,inversed
136,250,137,0,inversed
101,250,108,0,inversed
105,250,118,450,same orientation
73,250,36,450,same orientation
73,250,84,0,same orientation
148,250,150,450,inversed
148,250,162,0,inversed
159,250,151,0,inversed
159,250,139,450,inversed
114,250,127,450,same orientation
114,250,95,0,same orientation
123,250,136,450,same orientation
110,250,99,0,inversed
127,250,146,0,inversed
127,250,171,450,inversed
87,250,122,0,inversed
145,250,153,450,inversed
145,250,165,0,inversed
78,250,131,0,inversed
108,250,121,450,same orientation
98,250,111,450,same orientation
111,250,124,450,same orientation
109,250,100,0,inversed
67,250,31,450,same orientation
67,250,78,0,same orientation
84,250,97,450,same orientation
122,250,87,0,inversed
115,250,94,0,inversed
140,250,170,0,inversed
140,250,158,450,inversed
82,250,127,0,inversed
82,250,91,450,inversed
93,250,116,0,inversed
166,250,89,0,inversed
166,250,5,450,inversed
151,250,147,450,inversed
151,250,159,0,inversed
104,250,105,0,inversed
133,250,140,0,inversed
133,250,165,450,inversed
95,250,108,450,same orientation
76,250,40,450,same orientation
118,250,91,0,inversed
100,250,113,450,same orientation
89,250,102,450,same orientation
116,250,179,450,inversed
116,250,93,0,inversed
121,250,88,0,inversed
78,250,41,450,same orientation
143,250,167,0,inversed
143,250,155,450,inversed
81,250,128,0,inversed
81,250,92,450,inversed
87,250,100,450,same orientation
64,250,28,450,same orientation
64,250,75,0,same orientation
112,250,125,450,same orientation
103,250,116,450,same orientation
75,250,86,0,same orientation
75,250,38,450,same orientation
96,250,109,450,same orientation
90,250,119,0,inversed
152,250,146,450,inversed
152,250,158,0,inversed
69,250,80,0,same orientation
69,250,32,450,same orientation
130,250,143,0,inversed
130,250,168,450,inversed
107,250,102,0,inversed
89,250,120,0,inversed
70,250,33,450,same orientation
70,250,81,0,same orientation
129,250,144,0,inversed
129,250,169,450,inversed
106,250,119,450,same orientation
106,250,103,0,same orientation
164,250,173,0,same orientation
164,250,177,450,same orientation
76,250,133,0,inversed
160,250,150,0,inversed
160,250,138,450,inversed
157,250,142,450,inversed
157,250,153,0,inversed
95,250,114,0,inversed
102,250,107,0,inversed
135,250,138,0,inversed
135,250,163,450,inversed
93,250,106,450,same orientation
82,250,127,0,same orientation
82,250,91,450,same orientation
124,250,149,0,inversed
113,250,96,0,inversed
84,250,125,0,inversed
146,250,152,450,inversed
146,250,164,0,inversed
120,250,133,450,same orientation
117,250,130,450,same orientation
138,250,135,0,inversed
138,250,160,450,inversed
98,250,111,0,inversed
108,250,101,0,inversed
66,250,30,450,same orientation
66,250,77,0,same orientation
99,250,112,450,same orientation
110,250,123,450,same orientation
123,250,150,0,inversed
123,250,136,450,inversed
114,250,95,0,inversed
114,250,127,450,inversed
141,250,157,450,inversed
141,250,169,0,inversed
83,250,95,450,inversed
83,250,126,0,inversed
85,250,98,450,same orientation
94,250,107,450,same orientation
92,250,117,0,inversed
150,250,160,0,inversed
150,250,148,450,inversed
105,250,104,0,inversed
132,250,141,0,inversed
132,250,166,450,inversed
101,250,114,450,same orientation
163,250,172,0,same orientation
88,250,101,450,same orientation
88,250,121,0,same orientation
77,250,40,450,same orientation
119,250,90,0,inversed
155,250,155,0,inversed
155,250,144,450,inversed
162,250,170,0,inversed
162,250,174,450,inversed
97,250,112,0,inversed
137,250,161,450,inversed
137,250,136,0,inversed
100,250,109,0,inversed
118,250,131,450,same orientation
91,250,104,450,same orientation
72,250,83,0,same orientation
72,250,35,450,same orientation
149,250,161,0,inversed
149,250,149,450,inversed
104,250,117,450,same orientation
166,250,133,450,same orientation
166,250,13,0,same orientation
166,250,128,450,same orientation
115,250,128,450,same orientation
122,250,135,450,same orientation
158,250,141,450,inversed
158,250,152,0,inversed
79,250,130,0,inversed
109,250,122,450,same orientation
111,250,98,0,inversed
126,250,147,0,inversed
126,250,172,450,inversed
86,250,123,0,inversed
144,250,166,0,inversed
144,250,154,450,inversed
